足を広げる系のプロンプト	膝を立てるプロンプト	プロンプト例	Sitting with Knees Up on bed, spread legs
足を広げる系のプロンプト	M字開脚のプロンプト	プロンプト例	Sitting with Knees Up on sofa at living, spread legs
足を広げる系のプロンプト	騎乗位・股を開くプロンプト	プロンプト例	cowgirl position, open legs, on bed
セクシーポーズのプロンプト	四つん這いのプロンプト①	プロンプト例	crawling position on their hands and knees
セクシーポーズのプロンプト	四つん這いのプロンプト②	プロンプト例	seductively posing on all fours on a bed, looking up flirtatiously
セクシーポーズのプロンプト	胸を寄せる・胸を強調するプロンプト	プロンプト例	(leaning forward:1.3), (hands on knees:1.3)
セクシーポーズのプロンプト	胸を寄せる・胸を掴むプロンプト	キャプション	nsfw, (breast squeeze:1.3)
微エロ・パンチラのプロンプト	ベッドシーンで寝転びながらのパンチラ	プロンプト例	mini skirt, (skirt lift:1.3), (from bottom:1.3)
微エロ・パンチラのプロンプト	座ってスカートから少しだけ見えるパンちら	プロンプト例	wearing knit sweater & miniskirt, (Flirtingly lifting her skirt to show her panties:1.3)
微エロ・パンチラのプロンプト	モロだし・自慰行為	プロンプト例	nsfw, (spread pussy:1.3)
お尻を突き出すようなプロンプト	セクシーでエロい後ろ姿	キャプション	(back pose:1.3) or (back view:1.3)
お尻を突き出すようなプロンプト	寝転んでお尻を突き出すプロンプト	プロンプト例	stick out butt
お尻を突き出すようなプロンプト	お尻を強調しつつ、エロい後ろ姿	プロンプト例	(stick out butt:1.3), (back view:1.8)
お尻を突き出すようなプロンプト	お尻の穴を見せる	プロンプト例	(stick out butt:1.3), (show your butt hole:1.3)
お尻を突き出すようなプロンプト	nude指定でさらにお尻を強調する	キャプション	nude, (stick out butt:1.3), (show your butt hole:1.8)
お尻を突き出すようなプロンプト	四つん這いの状態でお尻を突き出す	プロンプト例	nude, (stick out butt:1.3), (show your butt hole:1.8), crawling position on their hands and knees
エロい服装・寝巻き・ランジェリー	網タイツのプロンプト	プロンプト例	wearing Fishnet bodystocking
エロい服装・寝巻き・ランジェリー	フリルとショーツのエロかわいい下着	プロのプト例	wearing Frilly babydoll and matching shorts
エロい服装・寝巻き・ランジェリー	ホルターネックのレース風下着	プロンプト例	wearing Halter neck lace teddy with peek-a-boo cups
エロい表情を表現するプロンプト	顔(頬)を赤くして恥ずかしがっている表情のプロンプト	プロンプト例	embarrassed,blush
エロい表情を表現するプロンプト	目を瞑る表情のプロンプト	プロンプト例	half closed eyes:1.3
エロい表情を表現するプロンプト	感じている表情のプロンプト	プロンプト例	(orgasm face:1.5)