お口・舌・胸・指を使った刺激的な行為の基本プロンプト 6選		日本語プロンプトひとこと解説フェラチオ	fellatio	口で優しく咥える
お口・舌・胸・指を使った刺激的な行為の基本プロンプト 6選		クンニリングス	cunnilingus	舌でクリを優しく愛撫
お口・舌・胸・指を使った刺激的な行為の基本プロンプト 6選		パイズリ	paizuri	おっぱいで挟んで擦る基本
お口・舌・胸・指を使った刺激的な行為の基本プロンプト 6選		手コキ	handjob	手で優しくしごく基本形
お口・舌・胸・指を使った刺激的な行為の基本プロンプト 6選		手マン	fingering	指で中を優しくかき回す
お口・舌・胸・指を使った刺激的な行為の基本プロンプト 6選		オナニー	masturbation	セルフプレジャーの基本形
口や舌を使った刺激的な行為の応用プロンプト 10選	フェラ（fellatio）系 応用	日本語プロンプトひとこと解説基本強化	fellatio, deepthroat, saliva, tongue_out, looking_at_viewer, pov	喉奥までガッツリ咥えちゃう
口や舌を使った刺激的な行為の応用プロンプト 10選	フェラ（fellatio）系 応用	ねっとり舐め	fellatio, licking_penis, tongue, saliva_trail, glossy_lips	舌でねっとり舐め回す感じ
口や舌を使った刺激的な行為の応用プロンプト 10選	フェラ（fellatio）系 応用	激しめイラマ	fellatio, irrumatio, deepthroat, tears, rough_sex	激しく喉を犯されるイラマ
口や舌を使った刺激的な行為の応用プロンプト 10選	フェラ（fellatio）系 応用	複数相手	fellatio, multiple_penises, 2boys, cum_on_face	複数のおちんちんを交互に
口や舌を使った刺激的な行為の応用プロンプト 10選	フェラ（fellatio）系 応用	組み合わせ例	fellatio, paizuri, titfuck, cum_on_breasts, pov	フェラとパイズリ同時攻め
口や舌を使った刺激的な行為の応用プロンプト 10選	クンニ（cunnilingus）系 応用	日本語プロンプトひとこと解説基本強化	cunnilingus, pussy, tongue, wet, pov, spread_legs	脚広げてじっくり舐め
口や舌を使った刺激的な行為の応用プロンプト 10選	クンニ（cunnilingus）系 応用	クリ重点	cunnilingus, clitoris, sucking, trembling, ahegao	クリ吸われてビクビク絶頂
口や舌を使った刺激的な行為の応用プロンプト 10選	クンニ（cunnilingus）系 応用	仰向けで	cunnilingus, lying_on_back, legs_up, pussy_juice	仰向けで愛液たっぷり
口や舌を使った刺激的な行為の応用プロンプト 10選	クンニ（cunnilingus）系 応用	組み合わせ例	cunnilingus, fingering, 69, mutual_oral, saliva	69でお互い舐め合いっこ
口や舌を使った刺激的な行為の応用プロンプト 10選	クンニ（cunnilingus）系 応用	ソフト～激しめ	cunnilingus, gentle, blushing とか cunnilingus, forced, tears, restrained	無理やり舌でイカされる
胸を使った刺激的な行為の応用プロンプト 5選	パイズリ（paizuri）系 応用	日本語プロンプトひとこと解説基本強化	paizuri, titfuck, breasts, cleavage, penis_between_breasts, pov	谷間に挟んで激しく上下
胸を使った刺激的な行為の応用プロンプト 5選	パイズリ（paizuri）系 応用	逆パイズリ	reverse_paizuri, looking_back, ass_visible	背中向けて逆パイズリ
胸を使った刺激的な行為の応用プロンプト 5選	パイズリ（paizuri）系 応用	激しめ	paizuri, cum_on_breasts, cumdrip, excessive_cum	大量精液でおっぱい汚れ
胸を使った刺激的な行為の応用プロンプト 5選	パイズリ（paizuri）系 応用	小さい胸ver	naizuri, flat_chest, small_breasts, penis_on_stomach	貧乳でも頑張るナイズリ
胸を使った刺激的な行為の応用プロンプト 5選	パイズリ（paizuri）系 応用	組み合わせ例	paizuri, fellatio, simultaneous_paizuri_fellatio, cum_in_mouth_and_on_breasts	パイとフェラ同時フィニッシュ
手や指を使った刺激的な行為の応用プロンプト 15選	手コキ（handjob）系 応用	日本語プロンプトひとこと解説基本強化	handjob, penis, hand_on_penis, precum, looking_at_viewer	先っぽから我慢汁垂らし
手や指を使った刺激的な行為の応用プロンプト 15選	手コキ（handjob）系 応用	両手	double_handjob, two_hands_on_penis	両手でしっかり包み込み
手や指を使った刺激的な行為の応用プロンプト 15選	手コキ（handjob）系 応用	ねっとり	handjob, oiled, glossy, slow, teasing	オイルでヌルヌル焦らし
手や指を使った刺激的な行為の応用プロンプト 15選	手コキ（handjob）系 応用	組み合わせ例	handjob, fellatio, blowjob_and_handjob, saliva, cum_on_hands	フェラと手コキの合わせ技
手や指を使った刺激的な行為の応用プロンプト 15選	手コキ（handjob）系 応用	足コキも混ぜる	footjob, handjob, multiple_penises	足と手で同時責め
手や指を使った刺激的な行為の応用プロンプト 15選	手マン（fingering）系 応用	日本語プロンプトひとこと解説基本強化	fingering, pussy, vaginal, two_fingers, pussy_juice, wet	二本指でマン汁ぐちゅぐちゅ
手や指を使った刺激的な行為の応用プロンプト 15選	手マン（fingering）系 応用	激しめ	fingering, g-spot, squirting, ahegao, trembling	Gスポ激しく突いて潮吹き
手や指を使った刺激的な行為の応用プロンプト 15選	手マン（fingering）系 応用	後ろから	fingering, from_behind, ass_grab, bent_over	後ろからお尻掴んで指入れ
手や指を使った刺激的な行為の応用プロンプト 15選	手マン（fingering）系 応用	組み合わせ例	fingering, cunnilingus, oral_and_fingering, 69_position	クンニと手マン同時攻め
手や指を使った刺激的な行為の応用プロンプト 15選	手マン（fingering）系 応用	クリも同時	fingering, clitoris, rubbing_clitoris, double_stimulation	クリと中を同時に刺激
手や指を使った刺激的な行為の応用プロンプト 15選	オナニー（masturbation）系 応用	日本語プロンプトひとこと解説パンティ越し	masturbation, hand_in_panties, blush, looking_at_viewer, pov	パンツの中に手を入れて
手や指を使った刺激的な行為の応用プロンプト 15選	オナニー（masturbation）系 応用	クリバイブ	masturbation, vibrator, sex_toy, clitoris, trembling, ahegao	クリバイブ当てビクビク
手や指を使った刺激的な行為の応用プロンプト 15選	オナニー（masturbation）系 応用	ディルド挿入	masturbation, dildo, insertion, vaginal, pussy_juice, spread_legs	ディルドを奥挿れぐちゅぐちゅ
手や指を使った刺激的な行為の応用プロンプト 15選	オナニー（masturbation）系 応用	仰向け2本指	masturbation, fingering, two_fingers, lying_on_back, legs_up, drooling	仰向けで二本指よだれ垂らし
手や指を使った刺激的な行為の応用プロンプト 15選	オナニー（masturbation）系 応用	おっぱいオナ	masturbation, breast_grab, nipple_tweak, self_grope, moaning	胸揉んで乳首つまんで感じちゃう